Iteration	Posterior	Likelihood	Prior	mu_plumage
82500	-744.8654	-744.8553	-0.01014947	0.01014947
83000	-745.1752	-745.1669	-0.008382194	0.008382194
83500	-747.2825	-747.2711	-0.01138689	0.01138689
84000	-744.3738	-744.3644	-0.00933023	0.00933023
84500	-744.5562	-744.5473	-0.008875719	0.008875719
85000	-744.5122	-744.5033	-0.008935039	0.008935039
85500	-744.3968	-744.3872	-0.009514544	0.009514544
86000	-744.701	-744.691	-0.009997624	0.009997624
86500	-744.4	-744.3908	-0.009163834	0.009163834
87000	-744.3742	-744.3649	-0.009316396	0.009316396
87500	-744.4103	-744.4012	-0.00913185	0.00913185
88000	-744.3815	-744.3723	-0.009244873	0.009244873
88500	-744.3793	-744.3701	-0.009259677	0.009259677
89000	-744.3974	-744.3879	-0.009516951	0.009516951
89500	-744.4415	-744.4319	-0.00963762	0.00963762
90000	-745.2446	-745.2363	-0.008343063	0.008343063
90500	-744.6559	-744.646	-0.00994989	0.00994989
91000	-744.411	-744.4014	-0.009561166	0.009561166
91500	-744.6178	-744.6079	-0.009906637	0.009906637
92000	-744.5436	-744.5337	-0.009811691	0.009811691
92500	-744.825	-744.8149	-0.01011467	0.01011467
93000	-745.249	-745.2407	-0.008340627	0.008340627
93500	-744.7611	-744.7511	-0.01005662	0.01005662
94000	-744.7507	-744.7406	-0.01004667	0.01004667
94500	-744.7237	-744.7136	-0.01002039	0.01002039
95000	-744.6307	-744.6208	-0.009921582	0.009921582
95500	-745.2235	-745.2131	-0.01041273	0.01041273
96000	-744.5067	-744.4969	-0.009757023	0.009757023
96500	-750.3868	-750.3744	-0.01237327	0.01237327
97000	-744.5544	-744.5446	-0.009826707	0.009826707
97500	-744.4517	-744.4426	-0.009035809	0.009035809
98000	-745.4178	-745.4096	-0.008252184	0.008252184
98500	-746.1022	-746.0942	-0.00795674	0.00795674
99000	-745.5266	-745.516	-0.01059674	0.01059674
99500	-744.3815	-744.372	-0.009442991	0.009442991
100000	-744.4327	-744.423	-0.009617645	0.009617645
100500	-744.4284	-744.4188	-0.009607402	0.009607402
101000	-744.5284	-744.5195	-0.008912159	0.008912159
101500	-744.4639	-744.4542	-0.009683269	0.009683269
102000	-746.1187	-746.1078	-0.01090121	0.01090121
102500	-744.377	-744.3677	-0.009279577	0.009279577
103000	-744.4057	-744.3965	-0.009145575	0.009145575
103500	-744.8439	-744.8338	-0.01013116	0.01013116
104000	-745.0532	-745.0429	-0.01029573	0.01029573
104500	-744.3807	-744.3712	-0.009437814	0.009437814
105000	-744.4853	-744.4764	-0.008976198	0.008976198
105500	-744.8917	-744.8831	-0.00856498	0.00856498
106000	-744.39	-744.3806	-0.009487522	0.009487522
106500	-744.3984	-744.3888	-0.009520406	0.009520406
107000	-744.4023	-744.3928	-0.009534092	0.009534092
107500	-744.5404	-744.5306	-0.009807231	0.009807231
108000	-744.7002	-744.6915	-0.00872154	0.00872154
108500	-745.5941	-745.5859	-0.008167797	0.008167797
109000	-744.8056	-744.7955	-0.01009753	0.01009753
109500	-744.4467	-744.4377	-0.009045645	0.009045645
110000	-746.1725	-746.1646	-0.007930398	0.007930398
110500	-744.8576	-744.8475	-0.01014289	0.01014289
111000	-744.3826	-744.3734	-0.009238374	0.009238374
111500	-744.5716	-744.5617	-0.009849486	0.009849486
112000	-744.4371	-744.4275	-0.009627806	0.009627806
112500	-746.3614	-746.3504	-0.01101211	0.01101211
113000	-744.5677	-744.5588	-0.008861489	0.008861489
113500	-744.9395	-744.9293	-0.01020987	0.01020987
114000	-744.6064	-744.5965	-0.009892987	0.009892987
114500	-745.8788	-745.868	-0.01078452	0.01078452
115000	-745.099	-745.0905	-0.008427383	0.008427383
115500	-744.3769	-744.3675	-0.009407776	0.009407776
116000	-744.4762	-744.4672	-0.008991381	0.008991381
116500	-744.8692	-744.8606	-0.008581548	0.008581548
117000	-745.131	-745.1207	-0.01035071	0.01035071
117500	-744.548	-744.5382	-0.009817922	0.009817922
118000	-745.5812	-745.5731	-0.008173731	0.008173731
118500	-744.7487	-744.7386	-0.01004477	0.01004477
119000	-744.834	-744.8238	-0.01012252	0.01012252
119500	-744.7485	-744.7385	-0.01004463	0.01004463
120000	-745.1089	-745.1004	-0.008421389	0.008421389
120500	-745.1751	-745.1667	-0.008382263	0.008382263
121000	-744.4517	-744.4426	-0.009035811	0.009035811
121500	-744.7142	-744.7055	-0.008708664	0.008708664
122000	-744.7432	-744.7332	-0.01003951	0.01003951
122500	-745.0497	-745.0413	-0.008457922	0.008457922
123000	-744.5896	-744.5797	-0.009872433	0.009872433
123500	-744.4877	-744.4788	-0.008972318	0.008972318
124000	-744.4219	-744.4123	-0.009591225	0.009591225
124500	-744.4024	-744.3933	-0.009155846	0.009155846
125000	-744.3813	-744.3718	-0.009441845	0.009441845
125500	-744.3926	-744.3834	-0.009191032	0.009191032
126000	-747.0216	-747.0103	-0.01128679	0.01128679
126500	-744.5704	-744.5606	-0.009847995	0.009847995
127000	-744.5282	-744.5184	-0.009789751	0.009789751
127500	-744.5751	-744.5663	-0.008852483	0.008852483
128000	-744.3783	-744.3689	-0.009420483	0.009420483
128500	-745.967	-745.9561	-0.0108283	0.0108283
129000	-744.5649	-744.556	-0.008864863	0.008864863
129500	-745.5224	-745.5142	-0.008201246	0.008201246
130000	-746.1944	-746.1835	-0.01093651	0.01093651
130500	-744.3764	-744.3671	-0.009285473	0.009285473
131000	-744.4007	-744.3915	-0.009161679	0.009161679
131500	-744.6741	-744.6654	-0.008746314	0.008746314
132000	-744.4179	-744.4083	-0.009580566	0.009580566
132500	-746.7662	-746.755	-0.01118454	0.01118454
133000	-744.5746	-744.5647	-0.009853357	0.009853357
133500	-744.5542	-744.5453	-0.008878215	0.008878215
134000	-744.5842	-744.5754	-0.008841706	0.008841706
134500	-744.4069	-744.3977	-0.009141956	0.009141956
135000	-744.6394	-744.6294	-0.009931433	0.009931433
135500	-744.6962	-744.6862	-0.009992684	0.009992684
136000	-744.5036	-744.4938	-0.009752059	0.009752059
136500	-745.2232	-745.2148	-0.008354957	0.008354957
137000	-744.5084	-744.4987	-0.009759771	0.009759771
137500	-744.5076	-744.4979	-0.009758523	0.009758523
138000	-744.6254	-744.6166	-0.008795785	0.008795785
138500	-744.8859	-744.8758	-0.01016661	0.01016661
139000	-744.3938	-744.3846	-0.009186444	0.009186444
139500	-744.4562	-744.4465	-0.009668261	0.009668261
140000	-745.1013	-745.091	-0.01033004	0.01033004
140500	-744.4429	-744.4338	-0.009053533	0.009053533
141000	-745.1068	-745.0983	-0.008422663	0.008422663
141500	-744.3768	-744.3676	-0.00928058	0.00928058
142000	-744.7207	-744.712	-0.008702776	0.008702776
142500	-745.3041	-745.2937	-0.01046427	0.01046427
143000	-746.3883	-746.3772	-0.01102401	0.01102401
143500	-744.9647	-744.9562	-0.008513613	0.008513613
144000	-745.5798	-745.5717	-0.008174376	0.008174376
144500	-744.8331	-744.8245	-0.008608992	0.008608992
145000	-744.5928	-744.584	-0.008831732	0.008831732
145500	-744.5865	-744.5766	-0.009868513	0.009868513
146000	-746.5303	-746.5192	-0.0110858	0.0110858
146500	-744.4019	-744.3924	-0.009532788	0.009532788
147000	-744.7348	-744.7247	-0.01003132	0.01003132
147500	-745.817	-745.8062	-0.01075313	0.01075313
148000	-744.6848	-744.676	-0.00873605	0.00873605
148500	-745.2848	-745.2765	-0.008321165	0.008321165
149000	-744.7217	-744.7117	-0.01001847	0.01001847
149500	-744.7049	-744.6949	-0.01000162	0.01000162
150000	-744.3821	-744.3727	-0.009446977	0.009446977
150500	-744.4628	-744.4531	-0.009681109	0.009681109
151000	-744.5447	-744.5349	-0.009813263	0.009813263
151500	-745.2387	-745.2283	-0.01042259	0.01042259
152000	-745.1647	-745.1543	-0.01037367	0.01037367
152500	-744.3814	-744.3722	-0.009245503	0.009245503
153000	-744.503	-744.4932	-0.009751136	0.009751136
153500	-744.7188	-744.7101	-0.008704481	0.008704481
154000	-744.4043	-744.3948	-0.009540723	0.009540723
154500	-744.3802	-744.371	-0.00925331	0.00925331
155000	-744.4677	-744.4587	-0.00900597	0.00900597
155500	-744.8649	-744.8547	-0.010149	0.010149
156000	-744.6154	-744.6066	-0.008806604	0.008806604
156500	-744.3868	-744.3776	-0.009216348	0.009216348
157000	-744.4403	-744.4312	-0.009058983	0.009058983
157500	-744.8692	-744.8606	-0.008581581	0.008581581
158000	-744.8263	-744.8162	-0.01011583	0.01011583
158500	-744.5913	-744.5824	-0.008833535	0.008833535
159000	-744.4572	-744.4482	-0.009025158	0.009025158
159500	-745.6327	-745.6245	-0.008150236	0.008150236
160000	-744.4852	-744.4762	-0.008976455	0.008976455
160500	-745.8727	-745.8619	-0.01078147	0.01078147
161000	-744.5884	-744.5785	-0.009870972	0.009870972
161500	-745.5592	-745.5486	-0.01061512	0.01061512
162000	-744.4272	-744.4176	-0.009604655	0.009604655
162500	-745.0065	-744.9962	-0.01026134	0.01026134
163000	-745.8818	-745.8711	-0.01078606	0.01078606
163500	-744.5395	-744.5297	-0.009805973	0.009805973
164000	-744.522	-744.5122	-0.009780471	0.009780471
164500	-744.3893	-744.3801	-0.009205029	0.009205029
165000	-744.3785	-744.3691	-0.009421992	0.009421992
165500	-744.4729	-744.4639	-0.008996936	0.008996936
166000	-744.4016	-744.3924	-0.009158652	0.009158652
166500	-745.0604	-745.0501	-0.01030097	0.01030097
167000	-744.5101	-744.5012	-0.008938096	0.008938096
167500	-744.3832	-744.374	-0.009234841	0.009234841
168000	-744.7255	-744.7168	-0.008698446	0.008698446
168500	-745.0509	-745.0406	-0.01029408	0.01029408
169000	-744.6533	-744.6445	-0.008766914	0.008766914
169500	-744.9817	-744.9715	-0.01024262	0.01024262
170000	-744.8653	-744.8552	-0.01014941	0.01014941
170500	-744.972	-744.9617	-0.01023515	0.01023515
171000	-744.4832	-744.4742	-0.00897966	0.00897966
171500	-744.4009	-744.3917	-0.009160953	0.009160953
172000	-744.5625	-744.5536	-0.008867831	0.008867831
172500	-744.5412	-744.5314	-0.009808357	0.009808357
173000	-744.4622	-744.4525	-0.009679898	0.009679898
173500	-744.4769	-744.4679	-0.008990128	0.008990128
174000	-744.3972	-744.3881	-0.009173495	0.009173495
174500	-744.4638	-744.4541	-0.009683091	0.009683091
175000	-745.0883	-745.0799	-0.008433909	0.008433909
175500	-745.1411	-745.1327	-0.008402135	0.008402135
176000	-744.5695	-744.5597	-0.009846825	0.009846825
176500	-745.4286	-745.4181	-0.01054	0.01054
177000	-744.5016	-744.4926	-0.008950758	0.008950758
177500	-745.3689	-745.3584	-0.01050419	0.01050419
178000	-744.5827	-744.5728	-0.009863743	0.009863743
178500	-744.4035	-744.394	-0.009538017	0.009538017
179000	-744.3737	-744.3643	-0.009353568	0.009353568
179500	-744.3778	-744.3683	-0.009415795	0.009415795
180000	-745.6756	-745.6649	-0.01067896	0.01067896
180500	-745.2244	-745.2161	-0.008354273	0.008354273
181000	-744.4831	-744.4741	-0.008979822	0.008979822
181500	-744.4091	-744.3999	-0.009135402	0.009135402
182000	-744.7521	-744.742	-0.01004802	0.01004802
182500	-744.3783	-744.369	-0.009267795	0.009267795
183000	-745.5136	-745.503	-0.01058935	0.01058935
183500	-744.4049	-744.3958	-0.009147966	0.009147966
184000	-744.6899	-744.6799	-0.009986122	0.009986122
184500	-745.464	-745.4557	-0.008229394	0.008229394
185000	-744.3832	-744.374	-0.009234996	0.009234996
185500	-744.6853	-744.6753	-0.009981386	0.009981386
186000	-744.7296	-744.7209	-0.008694855	0.008694855
186500	-746.2824	-746.2745	-0.007890374	0.007890374
187000	-744.536	-744.5271	-0.008901936	0.008901936
187500	-744.4216	-744.4125	-0.009101653	0.009101653
188000	-744.4037	-744.3942	-0.009538773	0.009538773
188500	-744.5045	-744.4955	-0.008946372	0.008946372
189000	-745.2548	-745.2444	-0.010433	0.010433
189500	-744.809	-744.7989	-0.01010053	0.01010053
