Iteration	Replicate_ID	Posterior	Likelihood	Prior	mu_plumage
161	1	-543.8658	-543.8514	-0.01438764	0.01438764
162	0	-544.4735	-544.4575	-0.01600006	0.01600006
163	1	-543.8701	-543.8559	-0.01419274	0.01419274
164	0	-543.8858	-543.8711	-0.01463262	0.01463262
165	1	-543.8652	-543.8508	-0.01434049	0.01434049
166	0	-545.756	-545.7443	-0.01171553	0.01171553
167	1	-543.9283	-543.9134	-0.01485783	0.01485783
168	0	-543.8657	-543.8513	-0.01438529	0.01438529
169	1	-543.9272	-543.9123	-0.01485309	0.01485309
170	0	-544.3708	-544.3579	-0.01293314	0.01293314
171	1	-544.3491	-544.3361	-0.01296251	0.01296251
172	0	-544.1975	-544.1843	-0.0131908	0.0131908
173	1	-544.879	-544.8625	-0.01650959	0.01650959
174	0	-543.8661	-543.8519	-0.01427328	0.01427328
175	1	-544.021	-544.0059	-0.01516184	0.01516184
176	0	-543.8814	-543.8674	-0.01407706	0.01407706
177	1	-543.9312	-543.9164	-0.01486999	0.01486999
178	0	-545.3789	-545.367	-0.01197352	0.01197352
179	1	-544.1182	-544.1028	-0.01539414	0.01539414
180	0	-543.8718	-543.8573	-0.01450403	0.01450403
181	1	-544.0879	-544.0745	-0.01339349	0.01339349
182	0	-543.9122	-543.8974	-0.01478575	0.01478575
183	1	-543.869	-543.8547	-0.01421091	0.01421091
184	0	-544.0466	-544.0314	-0.01522844	0.01522844
185	1	-544.6136	-544.6009	-0.01264294	0.01264294
186	0	-544.2982	-544.2824	-0.01573115	0.01573115
187	1	-544.1255	-544.1122	-0.01331894	0.01331894
188	0	-543.8801	-543.866	-0.01408776	0.01408776
189	1	-543.9396	-543.9258	-0.01378575	0.01378575
190	0	-546.1567	-546.1452	-0.01147211	0.01147211
191	1	-543.9862	-543.9712	-0.01506217	0.01506217
192	0	-548.2705	-548.2514	-0.01913052	0.01913052
193	1	-545.7046	-545.6873	-0.01731722	0.01731722
194	0	-547.5035	-547.4848	-0.01865016	0.01865016
195	1	-544.8622	-544.8457	-0.0164906	0.0164906
196	0	-544.0632	-544.048	-0.01526936	0.01526936
197	1	-546.1799	-546.1684	-0.01145878	0.01145878
198	0	-544.6419	-544.6257	-0.01622626	0.01622626
199	1	-544.2443	-544.2312	-0.01311523	0.01311523
200	0	-544.3893	-544.3764	-0.01290867	0.01290867
201	1	-543.8944	-543.8804	-0.01398927	0.01398927
202	0	-543.933	-543.9181	-0.01487717	0.01487717
203	1	-544.533	-544.5169	-0.01608289	0.01608289
204	0	-543.8773	-543.8632	-0.01411254	0.01411254
205	1	-543.8986	-543.8839	-0.01471449	0.01471449
206	0	-544.3639	-544.351	-0.01294242	0.01294242
207	1	-544.4552	-544.4392	-0.0159739	0.0159739
208	0	-543.878	-543.8634	-0.01457003	0.01457003
209	1	-543.8994	-543.8847	-0.01471915	0.01471915
210	0	-544.2445	-544.2314	-0.01311495	0.01311495
211	1	-544.5073	-544.4913	-0.01604763	0.01604763
212	0	-544.5901	-544.5739	-0.0161593	0.0161593
213	1	-543.8654	-543.8511	-0.01430744	0.01430744
214	0	-545.1974	-545.1806	-0.01684672	0.01684672
215	1	-544.7326	-544.7201	-0.01251955	0.01251955
216	0	-545.0608	-545.0441	-0.01670704	0.01670704
217	1	-544.6559	-544.6433	-0.01259783	0.01259783
218	0	-545.1541	-545.1419	-0.01214519	0.01214519
219	1	-544.0469	-544.0317	-0.0152292	0.0152292
220	0	-544.0528	-544.0376	-0.01524389	0.01524389
221	1	-543.9995	-543.9844	-0.01510162	0.01510162
222	0	-544.4867	-544.4707	-0.01601874	0.01601874
223	1	-544.7296	-544.7133	-0.01633514	0.01633514
224	0	-544.2513	-544.2357	-0.01565104	0.01565104
225	1	-544.4243	-544.4083	-0.01592867	0.01592867
226	0	-544.3676	-544.3518	-0.01584285	0.01584285
227	1	-544.4084	-544.3925	-0.01590504	0.01590504
228	0	-543.9888	-543.9751	-0.01362956	0.01362956
229	1	-544.4097	-544.3968	-0.01288223	0.01288223
230	0	-544.2409	-544.2252	-0.01563257	0.01563257
231	1	-544.2449	-544.2318	-0.01311427	0.01311427
232	0	-544.2743	-544.2612	-0.01306949	0.01306949
233	1	-544.1218	-544.1064	-0.0154017	0.0154017
234	0	-544.4113	-544.3984	-0.01288019	0.01288019
235	1	-543.9132	-543.8994	-0.01389254	0.01389254
236	0	-544.0337	-544.0185	-0.01519544	0.01519544
237	1	-544.2604	-544.2473	-0.0130904	0.0130904
238	0	-544.2633	-544.2476	-0.01567197	0.01567197
239	1	-544.2235	-544.2079	-0.01560124	0.01560124
240	0	-543.9722	-543.9572	-0.01501813	0.01501813
241	1	-543.8653	-543.8509	-0.01431742	0.01431742
242	0	-544.0363	-544.0211	-0.01520215	0.01520215
243	1	-544.0172	-544.0021	-0.01515155	0.01515155
244	0	-543.9236	-543.9097	-0.01384764	0.01384764
245	1	-545.1664	-545.1542	-0.01213538	0.01213538
246	0	-543.8879	-543.8733	-0.01464805	0.01464805
247	1	-544.5426	-544.5299	-0.01272164	0.01272164
248	0	-544.3371	-544.3213	-0.01579473	0.01579473
249	1	-543.8669	-543.8525	-0.01442284	0.01442284
250	0	-545.673	-545.6612	-0.01176962	0.01176962
251	1	-544.4262	-544.4134	-0.0128612	0.0128612
252	0	-544.1423	-544.129	-0.01328746	0.01328746
253	1	-544.3483	-544.3325	-0.01581254	0.01581254
254	0	-543.9423	-543.9273	-0.01491345	0.01491345
255	1	-543.9069	-543.8921	-0.0147592	0.0147592
256	0	-544.4397	-544.4269	-0.01284424	0.01284424
257	1	-543.8834	-543.8688	-0.01461491	0.01461491
258	0	-544.0034	-543.9882	-0.01511275	0.01511275
259	1	-543.901	-543.887	-0.01395277	0.01395277
260	0	-544.7744	-544.758	-0.01638872	0.01638872
261	1	-544.2696	-544.2539	-0.01568283	0.01568283
262	0	-545.1626	-545.1458	-0.01681176	0.01681176
263	1	-544.9689	-544.9523	-0.0166091	0.0166091
264	0	-543.9331	-543.9182	-0.01487748	0.01487748
265	1	-543.8708	-543.8566	-0.01418317	0.01418317
266	0	-543.9333	-543.9184	-0.01487826	0.01487826
267	1	-544.163	-544.1498	-0.0132501	0.0132501
268	0	-543.9663	-543.9513	-0.01499871	0.01499871
269	1	-543.8654	-543.8511	-0.01430233	0.01430233
270	0	-544.2924	-544.2793	-0.01304275	0.01304275
271	1	-543.8749	-543.8607	-0.01413587	0.01413587
272	0	-543.9187	-543.9039	-0.01481599	0.01481599
273	1	-543.8659	-543.8515	-0.01439068	0.01439068
274	0	-543.8697	-543.8555	-0.0141996	0.0141996
275	1	-543.8691	-543.8546	-0.01446532	0.01446532
276	0	-544.8449	-544.8325	-0.01241139	0.01241139
277	1	-544.4278	-544.4149	-0.01285928	0.01285928
278	0	-543.9726	-543.9575	-0.01501923	0.01501923
279	1	-544.2027	-544.1895	-0.01318208	0.01318208
280	0	-544.5152	-544.5024	-0.01275332	0.01275332
281	1	-544.0363	-544.0211	-0.01520217	0.01520217
282	0	-543.97	-543.955	-0.01501082	0.01501082
283	1	-544.0397	-544.0244	-0.01521083	0.01521083
284	0	-544.1091	-544.0957	-0.0133507	0.0133507
285	1	-544.2156	-544.2	-0.01558691	0.01558691
286	0	-545.4214	-545.4094	-0.01194276	0.01194276
287	1	-544.1234	-544.108	-0.01540517	0.01540517
288	0	-544.8008	-544.7883	-0.01245303	0.01245303
289	1	-544.4408	-544.4249	-0.01595303	0.01595303
290	0	-544.2787	-544.2656	-0.0130629	0.0130629
291	1	-547.7819	-547.7712	-0.0106822	0.0106822
292	0	-544.2518	-544.2387	-0.01310366	0.01310366
293	1	-543.8653	-543.851	-0.01436335	0.01436335
